Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
360	ocean	1	0.405465	0.405465
361	of	27	0	0
362	off	1	0.405465	0.405465
363	offered	1	1.09861	1.09861
364	often	2	0	0
365	on	4	0	0
366	once	1	0.405465	0.405465
367	one	1	0	0
368	only	2	0	0
369	open	1	0.405465	0.405465
370	opened	1	0	0
371	opposite	1	0.405465	0.405465
372	or	2	0	0
375	other	2	0	0
376	out	4	0	0
377	outside	1	0	0
380	overlooked	1	1.09861	1.09861
381	own	1	1.09861	1.09861
382	pace	1	0.405465	0.405465
383	packed	1	1.09861	1.09861
388	particular	1	0.405465	0.405465
391	passing	2	0	0
392	past	1	1.09861	1.09861
393	path	3	0	0
396	paused	1	0.405465	0.405465
399	peace	1	0	0
400	pen	1	0	0
401	perfectly	1	1.09861	1.09861
402	perhaps	2	0.405465	0.81093
404	pine	1	0.405465	0.405465
405	pines	1	0	0
406	place	1	0	0
407	placed	1	1.09861	1.09861
408	plans	1	1.09861	1.09861
409	plants	1	0	0
411	present	1	0.405465	0.405465
415	quickly	1	0.405465	0.405465
416	quiet	3	0	0
419	rare	1	0	0
421	reached	2	0	0
422	realize	1	1.09861	1.09861
423	realized	1	0	0
424	reason	1	1.09861	1.09861
426	reflecting	1	0.405465	0.405465
427	reminded	1	0	0
428	reminder	2	0	0
431	rest	1	1.09861	1.09861
433	revealed	1	1.09861	1.09861
434	rhythm	3	0.405465	1.2164
435	right	1	1.09861	1.09861
436	rings	1	1.09861	1.09861
438	ripples	2	0	0
440	road	1	0	0
443	roots	1	0	0
444	ropes	1	1.09861	1.09861
445	rose	1	1.09861	1.09861
446	rougher	1	0.405465	0.405465
447	row	1	0.405465	0.405465
450	rush	1	1.09861	1.09861
451	rushed	1	1.09861	1.09861
454	s	1	0.405465	0.405465
455	same	2	0.405465	0.81093
456	sat	2	0	0
459	scattering	1	1.09861	1.09861
461	scent	1	1.09861	1.09861
463	schedules	1	0.405465	0.405465
467	see	2	0	0
469	seem	1	0.405465	0.405465
470	seemed	6	0	0
471	sending	1	1.09861	1.09861
476	shades	1	1.09861	1.09861
477	shards	1	1.09861	1.09861
479	sharp	1	0.405465	0.405465
481	shimmered	1	0.405465	0.405465
484	shining	1	1.09861	1.09861
485	shore	1	0	0
486	short	1	1.09861	1.09861
488	sight	1	0.405465	0.405465
490	silent	1	1.09861	1.09861
492	simply	1	0	0
493	single	1	0.405465	0.405465
495	sky	3	0	0
497	slow	2	0	0
498	slowly	2	0	0
499	small	2	0	0
502	so	1	0	0
503	soft	1	0.405465	0.405465
504	softened	1	1.09861	1.09861
506	softly	1	0.405465	0.405465
507	soil	1	1.09861	1.09861
508	solemn	1	1.09861	1.09861
510	some	1	1.09861	1.09861
512	something	7	0	0
513	soon	1	1.09861	1.09861
514	sound	1	0.405465	0.405465
518	spread	2	0.405465	0.81093
522	started	1	0.405465	0.405465
526	stayed	1	0.405465	0.405465
527	steady	2	0.405465	0.81093
528	step	2	0	0
529	stepped	1	0.405465	0.405465
530	still	7	0	0
531	stillness	3	0	0
533	stone	1	0.405465	0.405465
534	stood	1	0.405465	0.405465
535	stopped	1	0	0
536	straight	1	1.09861	1.09861
537	stretch	2	1.09861	2.19722
538	stretched	2	0	0
541	success	1	1.09861	1.09861
545	suddenly	2	1.09861	2.19722
546	sun	2	0	0
547	sunlight	2	0	0
548	surface	4	0	0
549	swayed	1	0.405465	0.405465
550	t	11	0	0
551	take	1	0	0
553	tall	1	0	0
554	tell	1	1.09861	1.09861
555	than	2	0	0
556	that	16	0	0
557	the	85	0	0
558	their	2	0	0
559	them	2	0	0
561	there	2	0	0
562	they	2	0	0
567	thinking	1	0.405465	0.405465
568	this	2	0.405465	0.81093
569	though	2	0	0
570	thought	1	0	0
571	through	3	0	0
572	tides	1	1.09861	1.09861
573	time	2	0	0
574	timeless	1	1.09861	1.09861
575	tiny	1	0.405465	0.405465
576	to	29	0	0
577	today	1	0.405465	0.405465
578	too	2	0	0
579	touched	2	0.405465	0.81093
581	trail	1	0	0
584	trees	3	0	0
587	twice	1	1.09861	1.09861
591	unnoticed	1	0.405465	0.405465
592	unseen	1	0.405465	0.405465
593	until	1	0	0
594	unusually	1	0.405465	0.405465
598	usually	2	1.09861	2.19722
599	vanished	2	1.09861	2.19722
604	waited	1	0	0
605	waiting	1	0	0
606	walk	3	0	0
608	walking	1	0	0
610	want	1	0.405465	0.405465
611	wanting	1	0.405465	0.405465
613	warmer	1	0.405465	0.405465
615	was	17	0	0
616	wasn	1	0	0
617	wasted	1	0.405465	0.405465
618	watch	1	1.09861	1.09861
619	watched	1	0.405465	0.405465
621	water	7	0	0
622	waved	1	1.09861	1.09861
623	waves	1	0	0
624	way	3	0	0
625	well	1	1.09861	1.09861
627	were	1	0.405465	0.405465
629	what	1	0.405465	0.405465
630	whatever	1	1.09861	1.09861
631	when	5	0	0
632	where	1	0	0
635	while	2	0	0
637	whispered	1	0	0
638	whispering	1	1.09861	1.09861
640	why	1	0	0
641	wide	1	0	0
643	wider	2	1.09861	2.19722
645	wind	1	0	0
646	wings	1	0	0
647	with	6	0	0
648	without	2	0.405465	0.81093
651	wonders	1	1.09861	1.09861
652	woods	1	1.09861	1.09861
653	words	1	0	0
656	world	3	0	0
657	worries	1	1.09861	1.09861
660	wound	1	1.09861	1.09861
661	write	1	0	0
663	wrote	4	0	0

Documento: ejemplos/document-03.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	25	0	0
1	about	8	0	0
3	acceptance	1	0	0
6	achievement	1	1.09861	1.09861
7	across	4	0	0
8	activity	1	1.09861	1.09861
11	after	2	0.405465	0.81093
14	ahead	1	0.405465	0.405465
15	air	4	0	0
16	alive	2	0	0
17	all	2	0	0
20	alone	1	1.09861	1.09861
24	always	1	0	0
27	and	23	0	0
29	anything	1	0	0
30	anywhere	1	0.405465	0.405465
31	appeared	1	1.09861	1.09861
35	as	3	0	0
37	asked	1	0.405465	0.405465
39	at	5	0	0
40	attention	2	0	0
41	available	1	1.09861	1.09861
42	awake	1	0.405465	0.405465
43	away	2	0.405465	0.81093
44	back	2	0	0
45	balance	1	0	0
46	be	2	0	0
47	beautiful	1	0	0
48	beauty	2	0	0
51	been	1	1.09861	1.09861
52	before	3	0	0
53	began	2	0	0
57	beneath	2	0	0
58	birds	1	0	0
59	both	1	0.405465	0.405465
60	bother	1	1.09861	1.09861
63	branches	1	0.405465	0.405465
66	breeze	1	0.405465	0.405465
67	bright	1	0.405465	0.405465
70	broad	1	1.09861	1.09861
71	broke	1	1.09861	1.09861
75	but	8	0	0
76	by	2	0	0
77	called	1	1.09861	1.09861
78	calm	2	0	0
79	calmer	1	1.09861	1.09861
81	came	1	0.405465	0.405465
82	care	2	0	0
84	carefully	1	0.405465	0.405465
85	carried	1	0	0
87	caught	1	0	0
89	chaotic	1	1.09861	1.09861
93	climbed	1	0.405465	0.405465
96	closed	1	0	0
97	closely	1	1.09861	1.09861
98	colored	1	1.09861	1.09861
100	comforting	1	0.405465	0.405465
101	compared	2	1.09861	2.19722
104	connected	1	0	0
106	constantly	1	0.405465	0.405465
109	cool	1	0.405465	0.405465
111	could	1	0	0
113	course	1	0.405465	0.405465
116	crowded	1	0.405465	0.405465
117	curled	1	1.09861	1.09861
118	current	2	1.09861	2.19722
119	currents	1	0	0
120	daily	1	0.405465	0.405465
125	day	3	0	0
127	decided	1	0	0
128	deeper	1	0	0
129	deeply	1	0	0
130	deliberate	1	0.405465	0.405465
131	demand	1	0.405465	0.405465
135	details	1	0	0
136	didn	5	0	0
137	different	1	0	0
138	differently	1	1.09861	1.09861
139	dirt	1	0.405465	0.405465
143	disturb	1	1.09861	1.09861
145	down	2	0	0
146	dragonfly	1	0	0
147	drew	1	0.405465	0.405465
148	drifting	1	1.09861	1.09861
149	each	3	0	0
152	earth	1	0	0
153	earthy	1	1.09861	1.09861
154	easier	1	0.405465	0.405465
157	edge	2	0	0
158	else	1	0	0
159	elsewhere	1	1.09861	1.09861
161	empty	1	1.09861	1.09861
162	end	1	0	0
163	ended	1	0	0
164	enough	4	0	0
168	eventually	1	0	0
171	everything	1	0.405465	0.405465
172	everywhere	1	0.405465	0.405465
173	exactly	1	1.09861	1.09861
174	exist	1	0	0
177	faded	1	0.405465	0.405465
181	familiar	2	0	0
182	far	1	0	0
183	fast	1	1.09861	1.09861
184	feel	1	1.09861	1.09861
186	feels	1	0	0
187	felt	4	0	0
188	few	1	0.405465	0.405465
189	field	1	0.405465	0.405465
192	find	3	0.405465	1.2164
194	first	1	0	0
195	fish	2	0	0
199	focused	1	0.405465	0.405465
200	followed	2	1.09861	2.19722
201	for	4	0	0
203	forest	1	0	0
206	forward	1	1.09861	1.09861
207	found	1	0	0
208	fragile	1	1.09861	1.09861
209	freshness	1	0.405465	0.405465
211	from	3	0	0
212	full	1	0.405465	0.405465
215	gentler	1	0.405465	0.405465
216	gently	1	0	0
217	given	1	0.405465	0.405465
218	glass	2	0	0
219	glimmered	1	1.09861	1.09861
224	got	1	1.09861	1.09861
225	grass	2	1.09861	2.19722
230	great	1	1.09861	1.09861
231	grew	1	0	0
232	ground	1	0	0
233	growing	1	1.09861	1.09861
235	had	9	0	0
236	hadn	1	0	0
238	harmony	1	1.09861	1.09861
239	have	1	0	0
241	heard	1	0.405465	0.405465
243	held	1	0.405465	0.405465
244	here	5	0	0
245	hidden	1	0	0
246	higher	1	0	0
249	hours	1	1.09861	1.09861
250	house	1	1.09861	1.09861
251	how	7	0	0
253	hurry	2	1.09861	2.19722
254	i	49	0	0
255	idea	1	0.405465	0.405465
257	if	5	0	0
260	in	12	0	0
262	into	1	0	0
264	is	1	0.405465	0.405465
265	it	23	0	0
266	its	2	0	0
267	itself	2	0.405465	0.81093
270	jumped	1	1.09861	1.09861
272	just	3	0	0
274	kept	1	1.09861	1.09861
275	kind	2	0	0
