Documento: ejemplos/doc1.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/doc2.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
539	pine	1	0.367725	0.367725
540	pines	1	0.485508	0.485508
541	pink	1	0.77319	0.77319
543	placed	1	1.8718	1.8718
545	plants	1	0.262364	0.262364
546	polished	1	2.56495	2.56495
552	pretty	1	2.56495	2.56495
555	proof	1	1.8718	1.8718
559	quickly	1	0.619039	0.619039
560	quiet	2	0.262364	0.524729
562	quietly	2	0.619039	1.23808
565	rare	2	0.262364	0.524729
567	reached	1	0.262364	0.262364
569	realized	1	0.367725	0.367725
572	reflecting	1	0.367725	0.367725
574	remind	1	2.56495	2.56495
575	reminded	1	0.485508	0.485508
576	reminder	2	0.262364	0.524729
580	rested	1	1.8718	1.8718
581	restless	1	1.17865	1.17865
582	return	2	1.8718	3.7436
585	rhythm	1	0.485508	0.485508
589	ripples	1	0.262364	0.262364
591	risen	1	1.46634	1.46634
594	road	2	0.367725	0.73545
595	rock	1	0.77319	0.77319
598	roots	1	0.262364	0.262364
601	rougher	1	0.955511	0.955511
605	rush	1	0.77319	0.77319
610	same	2	0.367725	0.73545
611	sat	1	0.262364	0.262364
612	saw	1	0.619039	0.619039
613	scare	1	1.46634	1.46634
614	scattered	1	1.17865	1.17865
623	see	1	0.262364	0.262364
626	seemed	1	0.262364	0.262364
627	seen	1	1.8718	1.8718
640	sharp	1	0.367725	0.367725
647	shine	1	1.8718	1.8718
651	shore	1	0.367725	0.367725
653	side	1	1.46634	1.46634
658	simple	3	1.8718	5.61541
660	simply	2	0.262364	0.524729
663	sky	3	0.262364	0.787093
664	sliding	1	1.8718	1.8718
669	slowed	1	1.17865	1.17865
671	slowing	1	1.8718	1.8718
672	slowly	1	0.367725	0.367725
673	small	3	0.262364	0.787093
674	smell	1	0.77319	0.77319
676	smooth	1	1.17865	1.17865
677	so	2	0.367725	0.73545
678	soft	1	0.485508	0.485508
682	soil	1	0.619039	0.619039
686	solutions	1	1.8718	1.8718
690	someone	1	1.8718	1.8718
691	something	4	0.262364	1.04946
693	soon	1	1.46634	1.46634
694	sought	1	2.56495	2.56495
695	sound	2	0.619039	1.23808
699	splash	1	0.367725	0.367725
700	spread	2	0.485508	0.971016
703	stand	1	2.56495	2.56495
706	staring	1	2.56495	2.56495
708	started	1	0.955511	0.955511
711	startled	1	2.56495	2.56495
715	stayed	1	1.17865	1.17865
716	steady	3	0.619039	1.85712
717	step	2	0.262364	0.524729
719	steps	1	1.8718	1.8718
720	still	5	0.262364	1.31182
721	stillness	3	0.262364	0.787093
722	stirred	1	0.955511	0.955511
724	stood	1	0.367725	0.367725
725	stopped	1	0.619039	0.619039
729	stream	1	1.8718	1.8718
731	stretched	3	0.262364	0.787093
737	success	1	0.619039	0.619039
742	sun	2	0.262364	0.524729
743	sunlight	1	0.485508	0.485508
745	surface	3	0.262364	0.787093
746	swayed	1	0.619039	0.619039
